@relation QueryResult

@attribute imie {Jan,Stanislaw,Andrzej,Jozef,Tadeusz,Jerzy,Zbigniew,Krzysztof,Henryk,Ryszard,Kazimierz,Marek,Marian,Piotr,Janusz,Wladyslaw,Adam,Wieslaw,Zdzislaw,Edward,Mieczyslaw,Roman,Miroslaw,Grzegorz,Czeslaw,Dariusz,Wojciech,Jacek,Tomasz,Stefan,Zygmunt,Leszek,Bogdan,Antoni,Pawel,Franciszek,Jaroslaw,Robert,Mariusz,Wlodzimierz,Michal,Zenon,Boguslaw,Witold,Aleksander,Bronislaw,Waclaw,Boleslaw,Ireneusz,Maciej,Artur,Edmund,Marcin,Lech,Karol,Rafal}
@attribute miasto {Lublin,Rzeszow,Warszawa,Kielce,Krakow,Katowice,Lodz,Gdansk,Wroclaw,Poznan,Szczecin,Bialystok}
@attribute aktywny {nie,tak}

@data
Jan,Lublin,nie
Stanislaw,Rzeszow,nie
Andrzej,Warszawa,nie
Jozef,Warszawa,nie
Tadeusz,Warszawa,tak
Jerzy,Kielce,nie
Zbigniew,Krakow,nie
Krzysztof,Krakow,nie
Henryk,Katowice,nie
Ryszard,Lodz,nie
Kazimierz,Lodz,nie
Marek,Gdansk,tak
Marian,Gdansk,tak
Piotr,Wroclaw,tak
Janusz,Wroclaw,nie
Wladyslaw,Wroclaw,nie
Adam,Poznan,nie
Wieslaw,Poznan,nie
Zdzislaw,Poznan,nie
Edward,Szczecin,tak
Mieczyslaw,Szczecin,nie
Roman,Bialystok,tak
Miroslaw,Lublin,tak
Grzegorz,Rzeszow,nie
Czeslaw,Warszawa,tak
Dariusz,Warszawa,nie
Wojciech,Warszawa,nie
Jacek,Kielce,nie
Tomasz,Krakow,tak
Stefan,Krakow,tak
Zygmunt,Katowice,nie
Leszek,Lodz,nie
Bogdan,Lodz,nie
Antoni,Gdansk,nie
Pawel,Gdansk,tak
Franciszek,Wroclaw,nie
Jaroslaw,Wroclaw,nie
Robert,Wroclaw,nie
Mariusz,Poznan,nie
Wlodzimierz,Poznan,nie
Michal,Poznan,tak
Zenon,Szczecin,tak
Boguslaw,Szczecin,nie
Witold,Bialystok,nie
Aleksander,Lublin,nie
